Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Lactulose,Treatment of Chronic Constipation,Prevention and treatment of Hepatic Encephalopathy,"Flatulence, abdominal distension, nausea, diarrhea (high dose).",Osmotic Laxative/Ammonia Reducer,₹50 - ₹150 per Bottle (Syrup),Constipation: 15-45 $\text{mL}$ once or twice daily. Hepatic Encephalopathy: 30-45 $\text{mL}$ three to four times daily.,"Polyethylene Glycol (PEG), Sorbitol.",Global Oral Solution (Syrup)
Lamivudine,Treatment of chronic Hepatitis B Virus (HBV) infection,Treatment of HIV-1 Infection (part of combination therapy),"Headache, nausea, diarrhea, fatigue. Serious: Lactic acidosis, severe hepatomegaly with steatosis (rare).",Nucleoside Reverse Transcriptase Inhibitor (NRTI),High Cost; Specialty drug,HBV: 100 mg once daily. HIV: 150 mg twice daily or 300 mg once daily (in combination).,"Tenofovir (for HBV), Abacavir (for HIV).",Global Tablet/Oral Solution
Lamotrigine,Treatment of Partial Seizures (Epilepsy),Bipolar Disorder (Maintenance),"Dizziness, ataxia, somnolence, headache, diplopia. Serious: Stevens-Johnson Syndrome (SJS)/Toxic Epidermal Necrolysis (TEN) - requires slow titration.",Phenyltriazine Anticonvulsant,₹100 - ₹400 per 10 tabs (25mg to 200mg),"Highly complex titration schedule, maintenance typically 100 mg to 500 mg daily.","Levetiracetam, Valproate (interacts significantly).",Global Tablet
Lanreotide,Treatment of Acromegaly (excess Growth Hormone),Treatment of symptoms associated with neuroendocrine tumors (NETs),"Diarrhea, abdominal pain, nausea, gallstones, injection site reactions.",Somatostatin Analog,Extremely High Cost; Specialty Injection,"Deep SC injection (60 mg, 90 mg, or 120 mg) every 4 weeks.",Octreotide.,Global Injection (Depot)
Lansoprazole,Treatment and maintenance of Peptic Ulcers (Gastric/Duodenal),"Gastroesophageal Reflux Disease (GERD), Zollinger-Ellison Syndrome","Headache, diarrhea, abdominal pain, nausea. Long-term risk: $\text{C}$. difficile infection, low magnesium, bone fracture.",Proton Pump Inhibitor (PPI),₹100 - ₹300 per 10 caps (15mg/30mg),"15 mg to 30 mg once daily, 30 minutes before food.","Omeprazole, Esomeprazole, Pantoprazole.",Global Capsule/Tablet
Lanthanum carbonate,Reduction of high serum Phosphate levels in Chronic Kidney Disease (CKD) patients on dialysis,-,"Nausea, vomiting, diarrhea, constipation, abdominal pain.",Phosphate Binder,Very High Cost; Specialty drug,500 mg to 1000 mg (or more) taken with each meal.,"Sevelamer, Calcium Acetate (other phosphate binders).",Global Chewable Tablet
Lapatinib,$\text{HER2}$-positive Breast Cancer (in combination with other agents),-,"Diarrhea, rash, nausea, vomiting, fatigue. Serious: Hepatotoxicity, decreased LVEF (heart function).",Dual Tyrosine Kinase Inhibitor (EGFR and $\text{HER2}$/neu),Extremely High Cost; Oncology use only,1250 mg once daily (continuously) in combination with capecitabine.,Trastuzumab (Monoclonal Antibody).,Global Tablet
Leflunomide,Treatment of moderate to severe active Rheumatoid Arthritis (RA),Psoriatic Arthritis (PsA),"Diarrhea, nausea, rash, alopecia (hair loss), headache. Serious: Hepatotoxicity (liver damage), Teratogenic (Category X - pregnancy contraindication).",Disease-Modifying Antirheumatic Drug (DMARD),₹300 - ₹800 per 10 tabs (10mg/20mg),Initial loading dose (100 mg $\times$ 3 days) followed by 10 mg or 20 mg once daily.,"Methotrexate, Sulfasalazine.",Global Tablet
Lenalidomide,Treatment of Multiple Myeloma,Myelodysplastic Syndromes ($\text{del(5q)}$),"Diarrhea, rash, fatigue, nausea, peripheral neuropathy. Serious: Deep Vein Thrombosis/Pulmonary Embolism (DVT/PE - requires prophylaxis), neutropenia, teratogenic (severe birth defects).",Immunomodulatory Drug (IMiD),Extremely High Cost; Strict dispensing/monitoring program,10 mg to 25 mg daily (cycled with days off).,"Thalidomide, Pomalidomide.",Global Capsule
Lenograstim,Management of Neutropenia (low white blood cells) following chemotherapy,Mobilization of hematopoietic stem cells for transplantation,"Bone pain (common), injection site reactions, headache, fatigue. Serious: Splenic rupture, Acute Respiratory Distress Syndrome (ARDS).",Granulocyte Colony-Stimulating Factor (G-CSF),Extremely High Cost; Specialty Injection,5 $\mu\text{g}/\text{kg}$ to 10 $\mu\text{g}/\text{kg}$ SC once daily.,"Filgrastim, Pegfilgrastim.",Global Injection
Lenvatinib mesilate,"Treatment of progressive, differentiated Thyroid Cancer (radioiodine refractory)","Advanced Renal Cell Carcinoma (RCC), Hepatocellular Carcinoma (HCC)","Hypertension, fatigue, diarrhea, decreased appetite, proteinuria, weight loss. Serious: Hemorrhage, arterial thromboembolism, hepatotoxicity.",Multi-Kinase Inhibitor (Targeted Oncology),Extremely High Cost; Oncology use only,10 mg to 24 mg once daily.,"Sorafenib, Sunitinib (other TKIs).",Global Capsule
Lercanidipine hydrochloride,Treatment of Hypertension (High Blood Pressure),-,"Headache, flushing, peripheral edema, dizziness, palpitations.",Dihydropyridine Calcium Channel Blocker,₹150 - ₹400 per 10 tabs (10mg/20mg),10 mg once daily (Max 20 mg daily).,"Amlodipine, Nifedipine.",Global Tablet
Letrozole,Adjuvant treatment of Estrogen-receptor positive Breast Cancer (postmenopausal women),-,"Hot flashes, arthralgia (joint pain), night sweats, fatigue, headache, hypercholesterolemia. Serious: Increased fracture risk, thromboembolism.",Aromatase Inhibitor,Very High Cost; Oncology use only,2.5 mg once daily.,"Anastrozole, Exemestane.",Global Tablet
Leuprorelin acetate,Advanced Prostate Cancer,"Endometriosis, Uterine Fibroids, Central Precocious Puberty","Hot flashes, decreased libido, injection site reaction. Serious: Initial 'flare' in cancer symptoms, decreased bone mineral density.",GnRH (LHRH) Agonist,Extremely High Cost; Specialty Injection,"Depot Injection (IM/SC) every 1, 3, 4, or 6 months (dose varies by formulation).","Goserelin, Triptorelin.",Global Injection (Depot)
Levamisole (unlicensed product),"Adjuvant therapy for Colorectal Cancer (historical use, unlicensed in many regions)",Treatment of parasitic worm infections (anthelmintic),"Nausea, vomiting, diarrhea, abdominal pain. Serious: Agranulocytosis (severe low white blood cells), neurotoxicity.",Immunostimulant/Anthelmintic,Varies (Compounded/Special Access),Varies by indication.,5-Fluorouracil (for colorectal cancer).,Global Tablet
Levetiracetam,Treatment of Partial-Onset Seizures (Epilepsy),"Myoclonic Seizures, Primary Generalized Tonic-Clonic Seizures","Somnolence, dizziness, headache, behavioral changes (agitation, irritability, aggression).",Pyrrolidine Derivative (Anticonvulsant),₹200 - ₹800 per 10 tabs (250mg/500mg/1000mg),Initial: 500 mg twice daily. Maintenance: up to 1500 mg twice daily.,"Lamotrigine, Gabapentin.",Global Tablet/Oral Solution/Injection
Levocetirizine hydrochloride,Treatment of seasonal and perennial Allergic Rhinitis,Chronic Urticaria (hives),"Drowsiness, dry mouth, fatigue, headache. Less sedating than first-generation antihistamines.",Second-Generation $\text{H}_1$ Antihistamine,₹50 - ₹150 per 10 tabs (5mg),"5 mg once daily, usually in the evening.","Cetirizine, Fexofenadine.",Global Tablet/Oral Solution
Levofloxacin,"Treatment of various susceptible Bacterial Infections (e.g., Pneumonia, UTI, Skin/Soft Tissue)",-,"Nausea, diarrhea, headache, dizziness. Serious: Tendon rupture (Black Box Warning), QT prolongation, peripheral neuropathy, $\text{C}$. difficile infection.",Fluoroquinolone Antibiotic,₹200 - ₹600 per 10 tabs (250mg/500mg/750mg),"250 mg to 750 mg once daily, depending on infection.","Ciprofloxacin, Moxifloxacin.",Global Tablet/Injection/Eye Drops
Levofolinic acid,Leucovorin Rescue (after high-dose Methotrexate chemotherapy),"Antidote for Folic acid antagonists (e.g., Pyrimethamine)",Rare allergic reactions. This is the active isomer of Folinic Acid.,Active Folate Metabolite,High Cost; Hospital/IV use only,Dosing varies widely (complex protocols for Methotrexate rescue).,Folinic acid (calcium folinate).,Global Injection/Tablet
Levomepromazine (methotrimeprazine),Management of acute and chronic Psychosis,"Sedation, relief of severe pain (palliative care/adjunct analgesic)","Sedation (pronounced), orthostatic hypotension, dry mouth, blurred vision. Serious: QT prolongation, extrapyramidal symptoms.",Phenothiazine Antipsychotic,₹100 - ₹300 per 10 tabs (2mg/5mg/25mg),Oral: 25 mg to 50 mg three times daily (psychosis). Analgesia: 12.5 mg to 25 mg.,"Chlorpromazine, Promazine.",Global Tablet/Injection
Levothyroxine sodium (thyroxine),Treatment of Hypothyroidism (underactive thyroid),Thyroid-stimulating hormone (TSH) suppression in thyroid cancer,"Tachycardia, palpitations, tremors, heat intolerance, weight loss (symptoms of hyperthyroidism/overdose).",Synthetic Thyroid Hormone ($\text{T}_4$),₹50 - ₹150 per 10 tabs (25 $\mu\text{g}$ to 200 $\mu\text{g}$),"Highly individualized dose, typically 1.6 $\mu\text{g}/\text{kg}$ daily, taken 30-60 mins before breakfast.",Liothyronine ($\text{T}_3$).,Global Tablet
Lidocaine hydrochloride (Lignocaine),"Local Anesthesia (Minor procedures, regional blocks)",Treatment of Ventricular Arrhythmias (IV),"Dizziness, drowsiness, paresthesia, metallic taste. Serious: Seizures, cardiotoxicity (IV overdose/rapid infusion).",Voltage-Gated Sodium Channel Blocker,Low Cost; Injection/Topical/IV,"Varies greatly by route/concentration (e.g., 1%-2% solution for local infiltration; IV bolus/infusion for arrhythmias).","Bupivacaine (Local Anesthetic), Amiodarone (Antiarrhythmic).",Global Injection/Topical Cream/Patch
Linagliptin,Treatment of Type 2 Diabetes Mellitus (improves glycemic control),-,"Nasopharyngitis, headache, diarrhea. Rare: Pancreatitis, bullous pemphigoid, joint pain.",Dipeptidyl Peptidase-4 (DPP-4) Inhibitor,Very High Cost; Specialty drug,5 mg once daily.,"Sitagliptin, Saxagliptin, Vildagliptin.",Global Tablet
Linezolid,"Treatment of serious infections caused by Gram-Positive bacteria (e.g., $\text{VRE}$, $\text{MRSA}$ Pneumonia/Skin)",-,"Diarrhea, headache, nausea, elevated liver enzymes. Serious: Myelosuppression (thrombocytopenia), Serotonin Syndrome (with SSRIs), peripheral and optic neuropathy (long-term).",Oxazolidinone Antibiotic,Very High Cost; Hospital/Specialty drug,600 mg twice daily.,"Vancomycin, Daptomycin.",Global Tablet/Oral Solution/Injection
Liothyronine sodium (tri-iodothyronine),Treatment of severe Hypothyroidism (Myxedema Coma - IV use),"Supplemental therapy for hypothyroidism (oral, usually adjunct to $\text{T}_4$)","Tachycardia, palpitations, tremors, weight loss (symptoms of hyperthyroidism/overdose).",Synthetic Thyroid Hormone ($\text{T}_3$),High Cost; Specialty drug,"Highly individualized dose, usually 25 $\mu\text{g}$ to 75 $\mu\text{g}$ daily (oral). IV for Myxedema Coma.",Levothyroxine ($\text{T}_4$).,Global Tablet/Injection
Lipegfilgrastim,Management of Neutropenia (low white blood cells) following chemotherapy,-,"Bone pain (common), headache, nausea. Serious: Splenic rupture, ARDS. Pegylated, so longer acting.",Granulocyte Colony-Stimulating Factor (G-CSF) (Pegylated),Extremely High Cost; Specialty Injection,6 mg SC once per chemotherapy cycle.,Pegfilgrastim (other pegylated G-CSF).,Global Injection
Liraglutide,Treatment of Type 2 Diabetes Mellitus,"Weight Management (higher dose, different brand)","Nausea, vomiting, diarrhea, headache. Serious: Pancreatitis, risk of Medullary Thyroid Carcinoma (MTC) - in animal models.",Glucagon-like Peptide-1 ($\text{GLP}-1$) Receptor Agonist,Extremely High Cost; Specialty Injection,Initial: 0.6 mg SC daily. Titrated to 1.2 mg or 1.8 mg SC daily.,"Semaglutide, Dulaglutide.",Global Injection (Pen)
Lisinopril,Treatment of Hypertension (High Blood Pressure),"Congestive Heart Failure, Post-Myocardial Infarction","Dry cough, dizziness, fatigue. Serious: Angioedema, hyperkalemia, renal impairment.",Angiotensin-Converting Enzyme (ACE) Inhibitor,₹30 - ₹150 per 10 tabs (5mg/10mg/20mg),10 mg to 40 mg once daily.,"Ramipril, Enalapril, Perindopril.",Global Tablet
Lithium carbonate,Treatment of acute Mania and maintenance for Bipolar Disorder,Acute Depression in Bipolar Disorder,"Tremor, polyuria (excessive urination)/polydipsia, weight gain, nausea, loose stools. Serious: Toxicity (narrow therapeutic range, symptoms include severe GI distress, ataxia, confusion), renal damage, hypothyroidism.",Mood Stabilizer,₹80 - ₹250 per 10 tabs (300mg/400mg MR),"Highly individualized dose (monitoring serum levels), typically 600 mg to 900 mg twice daily (MR).","Valproate, Lamotrigine.",Global Tablet (Standard/MR)
Lixisenatide,Treatment of Type 2 Diabetes Mellitus (as an adjunct to diet and exercise),-,"Nausea, vomiting, headache, diarrhea. Serious: Pancreatitis, severe hypersensitivity reactions.",Glucagon-like Peptide-1 ($\text{GLP}-1$) Receptor Agonist,Very High Cost; Specialty Injection,Initial: 10 $\mu\text{g}$ SC once daily for 14 days. Maintenance: 20 $\mu\text{g}$ SC once daily.,"Liraglutide, Exenatide.",Global Injection (Pen)
Lofepramine,Treatment of major Depression,-,"Dry mouth, constipation, dizziness, blurred vision, sedation. Less cardiotoxic than other TCAs.",Tricyclic Antidepressant (TCA),₹200 - ₹500 per 10 tabs (70mg),70 mg three times daily (Max 210 mg daily).,"Imipramine, Nortriptyline.",Global Tablet
Loperamide,"Symptomatic relief of acute, non-specific Diarrhea",Reduction of ileostomy output,"Constipation, dizziness, nausea, abdominal cramps. Serious: Cardiac arrhythmias (high dose/abuse), paralytic ileus.",Opioid Receptor Agonist (Antidiarrheal),₹20 - ₹80 per 10 caps (2mg),Initial: 4 mg. Then 2 mg after each loose stool (Max 16 mg/day).,Diphenoxylate/Atropine.,Global Capsule/Tablet/Liquid
Lopinavir,Treatment of HIV-1 Infection (part of combination therapy),-,"Diarrhea, nausea, vomiting, abdominal pain, headache. Serious: PR/QT prolongation, hepatotoxicity, metabolic disturbances (dyslipidemia/hyperglycemia).",Protease Inhibitor (PI) (Always boosted with Ritonavir),Very High Cost; Specialty drug,"Usually combined with Ritonavir (e.g., 400 $\text{mg}$ Lopinavir/100 $\text{mg}$ Ritonavir) twice daily.","Atazanavir, Darunavir.",Global Tablet/Oral Solution
Loratadine,Treatment of seasonal and perennial Allergic Rhinitis,Chronic Urticaria (hives),"Headache, somnolence (mild), fatigue, dry mouth.",Second-Generation $\text{H}_1$ Antihistamine,₹50 - ₹150 per 10 tabs (10mg),10 mg once daily.,"Cetirizine, Fexofenadine.",Global Tablet/Syrup
Lorazepam,Short-term management of severe Anxiety,"Treatment of Status Epilepticus (IV), Preoperative sedation","Sedation, dizziness, weakness, unsteadiness, anterograde amnesia. Serious: Respiratory depression, physical/psychological dependence.",Benzodiazepine,₹100 - ₹300 per 10 tabs (1mg/2mg),Anxiety: 1 mg to 3 mg two to three times daily. Status Epilepticus: 2 $\text{mg}$ to 4 $\text{mg}$ IV.,"Diazepam, Alprazolam.",Global Tablet/Injection
Losartan potassium,Treatment of Hypertension (High Blood Pressure),"Diabetic Nephropathy, Heart Failure","Dizziness, headache, upper respiratory infection. Serious: Angioedema, hyperkalemia, renal impairment.",Angiotensin II Receptor Blocker (ARB),₹80 - ₹250 per 10 tabs (25mg/50mg/100mg),50 mg to 100 mg once daily.,"Valsartan, Irbesartan, Candesartan.",Global Tablet
Lovastatin,Treatment of Hypercholesterolemia (High Cholesterol),Prevention of Cardiovascular Disease,"Headache, GI upset, muscle pain (myalgia). Serious: Rhabdomyolysis (severe muscle breakdown), hepatotoxicity.",HMG-CoA Reductase Inhibitor (Statin),₹100 - ₹300 per 10 tabs (20mg/40mg),20 mg to 80 mg once daily with the evening meal.,"Atorvastatin, Simvastatin, Rosuvastatin.",Global Tablet
Loxapine,Treatment of acute and chronic Schizophrenia,Acute Agitation (Inhalation powder),"Sedation, dizziness, dry mouth, extrapyramidal symptoms. Serious: Neuroleptic Malignant Syndrome (NMS), seizures.",Typical (First-Generation) Antipsychotic,₹200 - ₹500 per 10 caps (10mg/25mg),10 mg to 50 mg two to four times daily.,"Haloperidol, Chlorpromazine.",Global Capsule/Inhalation Powder
Lurasidone,Treatment of Schizophrenia,Bipolar Depression,"Somnolence, akathisia (restlessness), nausea, weight gain (less than some others). Must be taken with food (at least 350 calories).",Atypical (Second-Generation) Antipsychotic,Extremely High Cost; Specialty drug,40 mg to 160 mg once daily with food.,"Aripiprazole, Quetiapine.",Global Tablet
Macitentan,Treatment of Pulmonary Arterial Hypertension (PAH),-,"Headache, anemia, nasopharyngitis, bronchitis. Serious: Hepatotoxicity, peripheral edema. Teratogenic (causes birth defects).",Endothelin Receptor Antagonist (ERA),Extremely High Cost; Specialty drug,10 mg once daily.,"Bosentan, Ambrisentan.",Global Tablet
Magnesium carbonate,Treatment of Indigestion (Antacid),Magnesium deficiency,"Diarrhea, abdominal cramps (high dose).",Antacid/Magnesium Supplement,Low Cost; OTC,As directed for antacid use. Supplement dose varies.,"Calcium Carbonate, Aluminum Hydroxide.",Global Powder/Tablet/Liquid
